2019-07-16T05:53:01.903Z - info: Website generation started at 1:53:01 PM
2019-07-16T05:53:03.058Z - info: Building assets...
2019-07-16T05:53:03.998Z - info: Assets built
2019-07-16T05:53:03.998Z - info: Generating pages...
2019-07-16T05:54:15.676Z - info: Pages built
2019-07-16T05:54:30.150Z - info: Website generation complete! Total build time: 88.254s
2019-07-16T06:01:06.714Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\misc\casting\index.md
2019-07-16T06:01:06.714Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\misc\constants\index.md
2019-07-16T06:01:06.727Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\misc\enums\index.md
2019-07-16T06:01:06.727Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\misc\fileAccess\index.md
2019-07-16T06:01:06.727Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\misc\index.md
2019-07-16T06:01:06.738Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\misc\packages\index.md
2019-07-16T06:01:06.738Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\misc\enums\text.md
2019-07-16T06:01:06.738Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\objects\garbageCollection\index.md
2019-07-16T06:01:06.739Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\objects\index.md
2019-07-16T06:01:06.739Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\objects\instanceMembers\index.md
